
1650618000000,40403.790000,40387.580000,40426.590000,40355.810000,0.381285
1650618900000,40388.610000,40437.450000,40471.920000,40360.660000,0.579835
1650619800000,40447.030000,40366.730000,40457.040000,40350.000000,0.859979
1650620700000,40363.060000,40316.470000,40390.430000,40245.470000,0.679594
1650621600000,40335.100000,40299.480000,40335.100000,40149.470000,0.717036
1650622500000,40300.000000,40375.410000,40397.760000,40300.000000,0.547229
1650623400000,40375.350000,40432.000000,40449.120000,40333.240000,0.682218
1650624300000,40439.470000,40451.280000,40478.400000,40405.900000,0.461458
1650625200000,40452.360000,40567.910000,40567.910000,40433.070000,0.548122
1650626100000,40558.700000,40550.920000,40572.990000,40505.800000,0.605415
1650627000000,40526.450000,40511.190000,40553.800000,40441.780000,0.960278
1650627900000,40521.740000,40580.670000,40580.670000,40501.140000,0.512743
1650628800000,40567.420000,40521.850000,40600.610000,40512.300000,0.584059
1650629700000,40528.990000,40522.520000,40537.680000,40477.980000,0.385304
1650630600000,40510.690000,40451.990000,40540.460000,40370.170000,0.466849
1650631500000,40449.220000,40413.430000,40452.210000,40384.000000,0.493201
1650632400000,40409.830000,40374.660000,40438.050000,40372.180000,0.412732
1650633300000,40372.960000,40468.530000,40468.530000,40317.540000,0.551870
1650634200000,40456.950000,40131.830000,40599.000000,40102.000000,1.961948
1650635100000,40131.830000,40245.660000,40363.850000,40070.870000,1.147084
1650636000000,40251.990000,40283.200000,40418.470000,40251.990000,0.963254
1650636900000,40298.320000,39861.190000,40309.840000,39851.070000,2.105884
1650637800000,39873.490000,39856.230000,40048.420000,39821.510000,0.993548
1650638700000,39900.100000,39891.300000,39944.240000,39867.800000,0.547545
1650639600000,39865.760000,39913.230000,39995.430000,39590.600000,2.675396
1650640500000,39902.030000,39794.590000,39920.200000,39746.000000,0.880996
1650641400000,39798.750000,39503.000000,39827.960000,39500.000000,0.722328
1650642300000,39504.000000,39429.920000,39565.920000,39357.990000,2.261575
1650643200000,39431.580000,39357.340000,39459.470000,39197.920000,1.025144
1650644100000,39357.560000,39459.580000,39508.310000,39292.580000,0.802002
1650645000000,39471.410000,39449.550000,39515.460000,39439.040000,0.567283
1650645900000,39480.270000,39397.940000,39521.020000,39366.660000,0.508739
1650646800000,39394.340000,39483.680000,39487.160000,39339.170000,0.481337
1650647700000,39473.850000,39429.080000,39522.340000,39408.950000,0.419438
1650648600000,39441.170000,39459.540000,39478.820000,39388.000000,0.493381
1650649500000,39471.080000,39376.970000,39474.430000,39366.000000,0.413270
1650650400000,39366.000000,39392.520000,39410.080000,39264.550000,0.555079
1650651300000,39421.360000,39391.580000,39644.800000,39350.990000,0.960222
1650652200000,39437.750000,39479.090000,39540.300000,39380.000000,1.011683
1650653100000,39479.580000,39517.960000,39517.960000,39434.440000,0.458024
1650654000000,39488.420000,39587.050000,39607.000000,39447.630000,0.500760
